見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,企画展「現代版画の展開」,展示,～6月25日,,,,一般510円　学生300円,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,コレクション展2017－夏 わかやまの名品特集「おはなしのなかへ」,展示,5月30日～9月10日,,,,一般510円　学生301円,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立博物館,073-436-8671　,073-423-2468,〒640-8137　和歌山市吹上1-4-15,9:30～17:00（入館は16:31まで）,休館／月曜（祝日の場合次の平日）,特別展「東照宮の文化財Ⅱ　没後400年家康の遺宝」,,～6月4日,,,,,,66歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,春期企画展「古代のアクセサリー」,展示,～5月14日,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,第8回HANI-1選手権（ハニワづくり）,イベント,5月14・28日、6月11日13:30?,,小学生以上,各40人（先着順）,350円,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,展示講座（2）文化財センター速報展(紀州のあゆみ,イベント,6月10日13:30?15:30,,小学生以上,30人（先着順）,,5月26日13:00?,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6124　,073-471-6121,〒640-8301　和歌山市岩橋1412,9:00～16:30（入館は16:01まで）,休館／月曜（祝日の場合次の平日）,フカミンのおしゃべり考古学（1,イベント,5月19日13:30?15:00,,15歳以上,30人（先着順）,,,66歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,昆虫標本を作ってみよう,イベント,5月28日10:00?15:00,大川周辺(和歌山市),小学生以上(小学生は保護者同伴),15人（抽選）,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,身近な昆虫をさがそう ,イベント,6月3日10:00?14:00開館日に実施,紀伊風土記の丘(和歌山市),小学生以上(小学生は保護者同伴),20人（抽選）,,5月20日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,生物画を描こう ,イベント,6月4日13:00?17:00,大川周辺(和歌山市),中学生以上,10人（抽選）,400円,5月21日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,魚にエサをやろう（1）（2）,イベント,（1）6月17日（2）7月1日15:00?16:30,大川周辺(和歌山市),小学生以上(小学生は保護者同伴) ,各20人（抽選）,,（1）6月3日（2）17日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,万葉講座「初夏の万葉歌に親しむ～花と鳥と空～」,イベント,5月28日13:30～15:00,,18歳以上,30人（先着順）,500円,,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,日曜体験教室「幼児＆小学生のはじめての英会話」,イベント,6月4日15:00～16:00,,3歳～小学生(要保護者同伴),20人（先着順）,500円,事前申込,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,日曜体験教室「五感で愉しむ中国茶」,イベント,6月11日13:30～15:00,,18歳以上,15人（先着順）,"1,000円",事前申込,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,黒潮愛蘭会・春の展示会,展示,5月13・14日,,,,,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,フラ・フェスティバルin 緑花センター,イベント,5月14日,,,,,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,春のボタニカルアート教室,イベント,5月27・28日13:00~,,両日参加できる方,,, 事前申込,入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,ボランティアによる「おはなし会」,イベント,5月13・20・27日14:00～、6月3日11:00～,,,,,,入場無料6月6?16日、資料点検のため県立図書館・紀南図書館は休館します。文化情報センターは14日から利用できます。
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,季節のおはなし会 あかちゃんといっしょに楽しもうーはるー,イベント,5月17日（1）10:30～（2）11:00～,,,,,,入場無料6月6?16日、資料点検のため県立図書館・紀南図書館は休館します。文化情報センターは14日から利用できます。
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,エントランスコンサート,イベント,エントランスコンサート,,,100人程度（先着順）,,,入場無料6月6?16日、資料点検のため県立図書館・紀南図書館は休館します。文化情報センターは14日から利用できます。
県動物愛護センター,073-489-6500　,073-489-6504 ,〒640-1251　紀美野町国木原372,10:00～17:00　,休館／火曜, 犬・猫の飼い方講習会及び譲渡会 in 田辺商工フェア,イベント,5月14日13:00?,ハナヨアリーナ(田辺市),,20人,"※譲渡を受けるには受講と、犬については狂犬病予防注射代2,640円が必要です。",,入場無料
県動物愛護センター,073-489-6500　,073-489-6504 ,〒640-1251　紀美野町国木原372,10:00～17:00　,休館／火曜,犬・猫の飼い方講習会及び譲渡会 in 御坊,イベント,6月7日11:00?,,,,"※譲渡を受けるには受講と、犬については狂犬病予防注射代2,640円が必要です。",,入場無料
